Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. 
section,title,loc,institution,start,end,description_1,description_2,description_3,in_resume
education,"PhD. Candidate, Education (thesis under examination)",The University of Auckland,"Auckland, New Zealand",2017,,Supervisors: Prof. Gavin T. L. Brown & Dr Kane Meissel,Thesis: Sources of Sample Bias in PISA: Selectivity and Effort Differences between Shanghai and New Zealand,"The Programme for International Student Assessment (PISA) is arguably one of the most influential international large-scale assessments and Shanghai in 2009 and 2012 outperformed the world in mathematics, reading, and science literacy. However, the legitimacy of such a comparison is questionable if sample bias exists among the jurisdictions. Two possible biases were evaluated in the thesis by comparing Shanghai with New Zealand: the similarity of tested population and the degree of effort in test-taking when a country's repuation is at stake.",TRUE
education,"MA, Education",China Agricultural University,"Beijing, China",2013,2015,Thesis: A comparison of art curriculum between China and the United States in K12 education.,,,TRUE
education,"BA, Civil Engineering; Finance (Minor)",China Agricultural University,"Beijing, China",2009,2013,Designed various building plans for the dairy farm agricultural industry.,"Developed good mathematical skills including calculus, algebra and linear algebra.",,TRUE
research_positions,Research Assistant,Quant Dare ,The University of Auckland,,Aug.2018,Title: Portuguese university students' conceptions of assessment: taking responsibility for achievement,Independently analyzed statistical models of students' conceptions of assessment inventory for Portuguese higher education institutional data.,"Flores, M.A., Brown, G., Pereira, D. et al. Portuguese university students’ conceptions of assessment: taking responsibility for achievement. High Educ 79, 377–394 (2020). https://doi.org/10.1007/s10734-019-00415-2",TRUE
research_positions,Research Assistant,Quant Dare ,The University of Auckland,Sep.2020,Oct.2020,"Title: Creative schools initiative research project, for Prof. Peter O'Connor",Multivariate data analysis and data visulisation for creative school index for the New Zealand school data.,"Zhao, A. (2020, October). CSI School Creativity Survey: NZ Norms Analysis. (Quant-DARE Tech. Rep. #2020_05). The University of Auckland, Auckland, NZ.",TRUE
research_positions,Research Assistant,,The University of Auckland,May.2020,Jul.2020,"Title: Review of research in teaching and learning of writing, for Prof. Judy Parr","Conducted systematic literature searches, complied spreadsheets of contents for a review study on teaching and learning of writing.",,TRUE
research_positions,Research Assistant,,The University of Auckland,Dec.2020,Feb.2021,"Title: Measuring education vulnerability, for Dr. Ritesh Shah",Investigates students' behavioural change due to distance learning as a result of the spread of COVID-19 in Palestine.,,TRUE
teaching_positions,Graduate Teaching Assistant,,The University of Auckland,2018,2020,"Course: EDUC 706, Measurement and Advanced Statistics",Lead tutorial sessions for an advanced statistical analysis for research in education course for three consecutive semesters.,,TRUE
academic_articles,The Impact of Stakes on Students' Test-taking Motivation,The ITC 12th Conference on Tests and Testing,,,2021,Presentation was accepted and postponed to 2021 due to the spread of COVID-19. ,"Zhao, A., Brown, G. T. L., & Meissel, K. (2020, July). The impact of stakes on students’ test-taking motivation, a quasi-experimental study in Shanghai. Paper accepted for the biennial meeting of the International Test Commission, Luxemburg. (conference cancelled)",,TRUE
academic_articles,The Influence of Stakes on Students' Test-taking Motivation: A Quasi-Experimental Study in Shanghai,"Doctoral and Postgraduate Symposium, University of Auckland  ",,,2019,Students' conceptions of assessment influences their test-taking motivation.,Students reported high levels of effort expenditure regardless of test-taking stakes.,,TRUE
academic_articles,Propensity Score Matching and Its Application in PISA,"The Psychological Studies in Education and Social Work, University of Auckland ",,,2020,Gave a talk on using propensity score matching to create post hoc balanced samples in oberservational studies.  ,,,TRUE
academic_articles,New Zealand Students’ Test-Taking Motivation: A Quasi-Experimental Study Examining the Effects of Stakes,,,,In Review,"Authored with Gavin T.L. Brown, Kane Meissel",,,TRUE
academic_articles,Manipulating the Consequences of Tests: How Shanghai Teens React to Different Consequences,,,,In Review,"Authored with Gavin T.L. Brown, Kane Meissel",,,TRUE
teaching_positions,Graduate Teaching Assistant,The University of Auckland,"Auckland, New Zealand",Mar.2021,Jun.2021,"Course: SOCWORK 718, Applied Research in Social Services",Marking students' assignments for research methodology and research proposals,,
